Entity,Year,Unsafe_water_source,Unsafe_sanitation,Household_air_pollution_from_solid_fuels,Child_wasting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Unsafe_sex,High_fasting_plasma_glucose,High_body_mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains
Belarus,1995,47.15542147,33.86507602,840.0351521,152.6982065,451.4187244,3163.149027,12916.85991,925.2962032,11676.71015,705.5944559,15163.08843,17712.55218,45844.4952,27504.45897,7.017190431,2.925093477,313.5412002,10918.1402,10193.65,9739.457566,16035.06896
Belarus,1996,44.14172492,31.41667693,786.5089692,139.8307898,416.4952713,3139.835771,13262.65933,940.8608655,11720.58264,683.2676475,15219.30551,17905.55147,46074.22559,27301.13495,7.37165309,2.679912777,315.3640518,10861.1193,10186.19,9693.415387,16056.52187
Belarus,1997,42.08656519,29.69899518,746.350427,129.8079331,386.7855149,3191.898211,13984.06285,991.2340342,11941.02318,696.8725057,15607.60353,18487.48528,47069.6339,27505.12388,7.848427289,2.492322115,326.1948461,10993.02943,10356.01,9772.003431,16363.4384
Belarus,1998,40.94441581,28.68110023,709.7337882,120.3442722,365.4419181,3262.411193,15067.49426,1054.999643,12267.62625,678.4012342,16169.92708,19227.21249,48540.01011,28225.46132,8.050017139,2.341270502,339.8363161,11238.96889,10637.15,9947.102888,16856.72814
Belarus,1999,38.5895725,26.8777445,690.4019583,112.953423,347.9603072,3374.258742,15822.13657,1135.174366,12639.54881,716.1898074,16933.89243,20129.6455,50551.76043,28820.5288,7.346054478,2.207939744,352.0501977,11561.37579,10977.46,10168.10953,17508.68582
Belarus,2000,30.59940806,21.50727572,618.3262391,100.0790047,330.556915,3197.194706,15184.18738,1117.302953,11968.52841,640.7689287,16275.11562,19447.66413,48519.45799,27263.00835,7.497246123,1.89372828,333.8415413,10935.2968,10413.64,9637.013177,16715.32731
Belarus,2001,25.77723231,18.30335844,601.8725964,87.47350807,311.9917392,3325.164906,16036.60348,1209.10622,12535.53867,663.1955954,17054.83845,20702.70824,51437.15551,28556.48281,6.423513968,1.583284722,353.2986831,11491.81287,10985.55,10052.04185,17707.23476
Belarus,2002,17.74216034,12.74452796,587.9048337,73.03587246,295.777374,3449.351904,16793.2081,1378.912364,13121.12552,739.3294806,17769.89871,22104.28355,54668.4703,29651.95486,4.681965517,1.209719775,379.7850421,12032.53933,11535.47,10532.11994,18776.13082
Belarus,2003,13.8115486,10.0443233,526.0611784,64.07018561,284.1749142,3284.429178,16193.5386,1395.565341,12565.91448,736.1118074,17114.4828,21603.26825,53453.78227,28448.61128,4.374556571,0.989841112,370.8508863,11597.85031,11152.03,10202.34989,18252.59549
Belarus,2004,11.16144435,8.21953975,474.9482249,57.63249208,274.63095,3192.067853,15657.01287,1358.332261,12237.78368,722.6859049,16709.53265,21378.44905,52775.86694,27621.52282,4.74320498,0.820787261,368.4506044,11350.63824,10950.53,10021.18349,17972.55314
Belarus,2005,8.943126419,6.676302794,448.5912976,51.52801544,265.4735675,3210.224431,16006.98838,1415.032082,12249.63546,726.9255159,16939.36122,21916.42461,53880.41336,28132.95758,4.500090207,0.678563524,379.2263237,11478.33576,11100.02,10180.89614,18325.92301
Belarus,2006,7.045560611,5.392451458,375.766976,45.32625782,255.9492343,3072.679651,15526.78776,1420.408259,11559.40611,740.7736065,16441.48895,21348.27653,52409.83031,26936.356,3.633382741,0.559009396,371.0357064,11040.85479,10727.9,9885.573313,17697.47455
Belarus,2007,5.606634844,4.374288377,315.1875567,39.37145612,248.9365309,2902.202085,15047.16491,1436.720232,10734.3662,749.5978672,15671.3461,20553.44794,50240.10175,25542.4175,2.255743381,0.450722772,359.0000425,10464.90208,10205.68,9450.625798,16812.32107
Belarus,2008,4.933493594,3.934244882,277.6391673,34.48175144,238.1924263,2871.940031,15729.86691,1449.028037,10467.23146,765.4430827,15597.0099,20739.9103,50419.75994,25842.50166,2.759959993,0.395544487,365.5501427,10423.14819,10197.19,9489.329872,16785.34214
Belarus,2009,4.808659123,3.931301611,243.4597761,32.02568016,231.8596985,2890.498071,16290.4166,1495.600909,10458.96581,807.7399282,15713.44877,21164.32232,51164.88457,25984.26427,2.949658119,0.351509067,366.2724396,10460.87472,10264.9,9592.583205,16946.03552
Belarus,2010,4.726678598,3.961859244,220.0269478,31.84707788,225.0363455,2893.882997,17205.53158,1560.151172,10322.27702,813.318759,15801.88378,21505.34096,51580.23328,26477.24189,2.943844713,0.321849834,361.8349444,10481.4337,10305.51,9655.88237,17036.57595
Belarus,2011,4.932150628,4.07617014,195.6427997,30.33096018,216.7055523,2919.025673,17678.95698,1578.930919,10220.34192,857.9579964,16066.5202,21941.83165,52412.20229,26640.38092,2.959514737,0.287888449,364.3089819,10488.74821,10334.45,9755.921789,17241.65223
Belarus,2012,4.836507062,3.938150999,162.1202587,29.08729104,206.8814334,2605.247566,15647.4688,1411.244259,8985.671349,756.4191677,14838.74032,19890.49182,47850.24888,23517.9815,2.595673854,0.271671059,320.5677748,9237.888105,9111.42,8901.548347,15488.22602
Belarus,2013,5.078821253,4.086108399,152.3049084,29.15323185,197.5838991,2574.958574,15404.9932,1369.715477,8779.750945,742.8772797,14939.83036,19957.82705,48002.14842,22906.60117,2.495348957,0.255219809,310.2861596,8987.410261,8867.27,8861.310633,15414.65575
Belarus,2014,5.049641193,4.037645338,141.7223729,28.08226719,186.0914374,2505.7746,15125.90777,1335.268275,8573.055728,727.6113109,14719.74883,19757.64415,47183.5625,22342.53231,2.280836738,0.240084673,296.0054272,8651.126638,8539.9,8642.963382,15081.42714
Belarus,2015,4.74580359,3.77786773,123.7410949,25.87053146,174.9385677,2402.50087,14619.52225,1293.954025,8191.328886,675.355413,14356.43861,19220.67098,45721.58647,21555.91257,1.966751904,0.224668821,290.1614382,8395.824292,8303.95,8308.438188,14493.07841
